room_length,room_breadth,furniture_0_x,furniture_0_y,furniture_0_orientation,furniture_0_category,furniture_1_x,furniture_1_y,furniture_1_orientation,furniture_1_category,furniture_2_x,furniture_2_y,furniture_2_orientation,furniture_2_category,furniture_3_x,furniture_3_y,furniture_3_orientation,furniture_3_category,output_furniture_0_x,output_furniture_0_y,output_furniture_0_orientation,output_furniture_0_category,output_furniture_1_x,output_furniture_1_y,output_furniture_1_orientation,output_furniture_1_category,output_furniture_2_x,output_furniture_2_y,output_furniture_2_orientation,output_furniture_2_category,output_furniture_3_x,output_furniture_3_y,output_furniture_3_orientation,output_furniture_3_category
3.25,8.86,0.49,4.46,266.92,wooden_beige_sofa,0.61,0.5,184.87,hexagonal_top_table,0.85,7.64,278.43,modern_chair,2.89,1.71,356.39,green_sofa,0.49,4.46,266.92,wooden_beige_sofa,0.61,0.5,184.87,hexagonal_top_table,0.85,7.64,278.43,modern_chair,2.89,1.71,356.39,green_sofa
7.51,4.28,6.54,3.59,182.64,leather_vintage_sofa,0.84,1.03,357.79,hexagonal_top_table,3.39,3.1,111.7,yellow_armchair,4.81,2.77,85.35,leather_vintage_sofa,6.54,3.59,182.64,leather_vintage_sofa,0.84,1.03,357.79,hexagonal_top_table,3.39,3.1,111.7,yellow_armchair,4.81,2.77,85.35,leather_vintage_sofa
5.37,4.08,3.07,2.04,166.69,red_brown_sofa,5.03,2.97,160.51,wooden_beige_sofa,2.26,2.53,262.16,red_brown_sofa,4.82,3.35,107.21,coffee_table,3.07,2.04,166.69,red_brown_sofa,5.03,2.97,160.51,wooden_beige_sofa,2.26,2.53,262.16,red_brown_sofa,4.82,3.35,107.21,coffee_table
9.11,9.1,8.26,8.78,323.68,coffee_table,1.42,5.76,157.38,leather_vintage_sofa,7.75,7.72,213.49,yellow_armchair,3.56,6.45,165.67,hexagonal_top_table,8.26,8.78,323.68,coffee_table,1.42,5.76,157.38,leather_vintage_sofa,7.75,7.72,213.49,yellow_armchair,3.56,6.45,165.67,hexagonal_top_table
7.8,6.97,4.46,1.15,218.73,white_armchair,3.86,6.33,311.49,green_sofa,5.07,3.43,286.24,leather_vintage_sofa,0.94,4.4,11.15,hexagonal_top_table,4.46,1.15,218.73,white_armchair,3.86,6.33,311.49,green_sofa,5.07,3.43,286.24,leather_vintage_sofa,0.94,4.4,11.15,hexagonal_top_table
4.98,5.33,0.9,0.22,57.21,coffee_table,3.28,4.98,112.62,hexagonal_top_table,1.67,0.54,39.14,brown_sofa,1.82,1.48,343.15,wooden_beige_sofa,0.9,0.22,57.21,coffee_table,3.28,4.98,112.62,hexagonal_top_table,1.67,0.54,39.14,brown_sofa,1.82,1.48,343.15,wooden_beige_sofa
7.71,3.01,0.34,0.31,112.88,green_sofa,2.38,2.14,309.15,green_sofa,7.09,2.89,19.04,leather_vintage_sofa,3.57,2.35,218.89,hexagonal_top_table,0.34,0.31,112.88,green_sofa,2.38,2.14,309.15,green_sofa,7.09,2.89,19.04,leather_vintage_sofa,3.57,2.35,218.89,hexagonal_top_table
7.02,8.51,6.55,5.81,20.9,leather_vintage_sofa,2.47,2.55,244.37,red_brown_sofa,4.73,2.1,321.9,coffee_table,1.81,6.73,4.31,leather_vintage_sofa,6.55,5.81,20.9,leather_vintage_sofa,2.47,2.55,244.37,red_brown_sofa,4.73,2.1,321.9,coffee_table,1.81,6.73,4.31,leather_vintage_sofa
6.3,7.45,2.33,6.53,65.93,modern_chair,5.23,1.13,12.88,leather_vintage_sofa,3.02,6.53,31.75,white_armchair,4.44,2.07,300.8,white_armchair,2.33,6.53,65.93,modern_chair,5.23,1.13,12.88,leather_vintage_sofa,3.02,6.53,31.75,white_armchair,4.44,2.07,300.8,white_armchair
5.9,8.28,4.58,1.16,201.24,antique_desk,5.59,8.17,110.86,red_brown_sofa,4.23,7.77,120.72,yellow_armchair,3.92,1.93,79.22,hexagonal_top_table,4.58,1.16,201.24,antique_desk,5.59,8.17,110.86,red_brown_sofa,4.23,7.77,120.72,yellow_armchair,3.92,1.93,79.22,hexagonal_top_table
